0,a
1,à
2,ả
3,ã
4,á
5,ạ
6,ă
7,ằ
8,ẳ
9,ẵ
10,ắ
11,ặ
12,â
13,ầ
14,ẩ
15,ẫ
16,ấ
17,ậ
18,b
19,c
20,d
21,đ
22,e
23,è
24,ẻ
25,ẽ
26,é
27,ẹ
28,ê
29,ề
30,ể
31,ễ
32,ế
33,ệ
34,f
35,g
36,h
37,i
38,ì
39,ỉ
40,ĩ
41,í
42,ị
43,j
44,k
45,l
46,n
47,o
48,ò
49,ỏ
50,õ
51,ó
52,ọ
53,ô
54,ồ
55,ổ
56,ỗ
57,ố
58,ộ
59,ơ
60,ờ
61,ở
62,ỡ
63,ớ
64,ợ
65,p
66,q
67,u
68,ù
69,ủ
70,ũ
71,ú
72,ụ
73,ư
74,ừ
75,ử
76,ữ
77,ứ
78,ự
79,v
80,w
81,x
82,y
83,ỳ
84,ỷ
85,ỹ
86,ý
87,ỵ
88,A
89,À
90,Ả
91,Ã
92,Á
93,Ạ
94,Ă
95,Ằ
96,Ẳ
97,Ẵ
98,Ắ
99,Ặ
100,Â
101,Ầ
102,Ẩ
103,Ẫ
104,Ấ
105,Ậ
106,B
107,C
108,D
109,Đ
110,E
111,È
112,Ẻ
113,Ẽ
114,É
115,Ẹ
116,Ê
117,Ề
118,Ể
119,Ễ
120,Ế
121,Ệ
122,F
123,G
124,H
125,I
126,Ì
127,Ỉ
128,Ĩ
129,Í
130,Ị
131,J
132,K
133,L
134,N
135,O
136,Ò
137,Ỏ
138,Õ
139,Ó
140,Ọ
141,Ô
142,Ồ
143,Ổ
144,Ỗ
145,Ố
146,Ộ
147,Ơ
148,Ờ
149,Ở
150,Ỡ
151,Ớ
152,Ợ
153,P
154,Q
155,U
156,Ù
157,Ủ
158,Ũ
159,Ú
160,Ụ
161,Ư
162,Ừ
163,Ử
164,Ữ
165,Ứ
166,Ự
167,V
168,W
169,X
170,Y
171,Ỳ
172,Ỷ
173,Ỹ
174,Ý
175,Ỵ
176,0
177,1
178,2
179,3
180,4
181,5
182,6
183,7
184,8
185,9
186,,
187,.
188,!
189,?
